"gene","padj","logpadj","lfc","direction"
"ERCC8",2.93185415062987e-25,24.5328576381073,-0.569896633710102,"pituitary"
"PDSS2",6.4918225468574e-24,23.1876333600679,-0.570069892399904,"pituitary"
"DOCK11",2.14958406215111e-102,101.66764556659,-0.570584239844419,"pituitary"
"DDX6",1.71543922875731e-62,61.765624662675,-0.570760068817066,"pituitary"
"TAOK3",2.9464278306677e-39,38.5307041919782,-0.571752659754227,"pituitary"
"HDAC2",3.06321310177457e-09,8.51382278912047,-0.571932100527242,"pituitary"
"ATF4",3.99540061049651e-40,39.3984396683637,-0.572149120569757,"pituitary"
"PPM1K",6.71981543907865e-58,57.1726426547572,-0.572495101029515,"pituitary"
"FOXD1",0.00564272081160534,2.24851143705563,-0.572563891979845,"pituitary"
"ZNF800",2.7537721457648e-45,44.5600719972421,-0.572647569296644,"pituitary"
"PCSK2",1.66539958680544e-22,21.7784815474285,-0.572977342821798,"pituitary"
"PURG",5.01167835795328e-19,18.300016809156,-0.572999192887348,"pituitary"
"DIRC2",2.40013012529554e-28,27.6197652119693,-0.574146759129268,"pituitary"
"PATZ1",4.26203651343897e-63,62.3703828339467,-0.57429161250435,"pituitary"
"KIAA1919",1.27219342078258e-39,38.8954468547312,-0.574333371867029,"pituitary"
"SCYL2",1.0300206374106e-88,87.9871540737184,-0.575083162000743,"pituitary"
"HHIP",6.52799730679657e-08,7.18522003342755,-0.575187924123849,"pituitary"
"BFAR",4.86889214530376e-70,69.3125698457495,-0.575344898581677,"pituitary"
"STS",1.47569393547685e-61,60.8310037074973,-0.575428125356674,"pituitary"
"TOP1MT",1.32952761739615e-67,66.8763026369272,-0.575776129888917,"pituitary"
"SUMO2",0.000309633365977907,3.5091522460534,-0.576563870082915,"pituitary"
"PIGM",5.11975912332287e-97,96.2907504714211,-0.577400192935382,"pituitary"
"LOC771612",5.52764533022663e-07,6.25745983033482,-0.577425723488801,"pituitary"
"KIAA1407",4.92133449101061e-24,23.3079171160341,-0.577446605105886,"pituitary"
"ANKRD11",2.17632315524039e-28,27.6622766171919,-0.577550301215656,"pituitary"
"SCFD2",2.34402768057901e-59,58.6300372640483,-0.577687283220899,"pituitary"
"TMEM159",9.82730243684302e-26,25.0075656782585,-0.577985534225508,"pituitary"
"MTPN",4.06687023147641e-23,22.3907396851447,-0.578264171673741,"pituitary"
"GCN1",2.84907877500489e-85,84.5452955426605,-0.578909433437341,"pituitary"
"XRN2",3.32504712238327e-41,40.47820219552,-0.579102363428715,"pituitary"
"ASB1",1.40550021054357e-24,23.8521690849993,-0.579233250420677,"pituitary"
"STK40",6.60700482805492e-24,23.1799953758318,-0.579997665465044,"pituitary"
"LOC101748694",7.27964690055185e-26,25.1378896856404,-0.580060421911557,"pituitary"
"FKTN",2.51601201291647e-31,30.5992872896453,-0.580638333051592,"pituitary"
"TTC8",2.04098635951374e-80,79.6901598977865,-0.581525726192997,"pituitary"
"ZNF326",1.55702503265132e-94,93.807704405123,-0.581580555324922,"pituitary"
"COQ6",3.13163361861618e-117,116.504229053358,-0.582181301541915,"pituitary"
"ZBTB41",1.25026736325804e-85,84.9029971054147,-0.582285889463786,"pituitary"
"HELQ",5.4016089191034e-30,29.2674768622855,-0.582322177247933,"pituitary"
"ENC1",1.47289748585253e-49,48.8318274791437,-0.58233615592221,"pituitary"
"GK5",5.92304150868187e-13,12.2274552238122,-0.582634534623685,"pituitary"
"LGR4",1.20258518449289e-18,17.9198841508419,-0.58268531901562,"pituitary"
"LOC768374",1.18217579291574e-67,66.9273179378232,-0.583312878284634,"pituitary"
"C14H16ORF52",4.71872378519452e-54,53.3261754437371,-0.583355584274632,"pituitary"
"VPS53",7.73168994198538e-163,162.111725570472,-0.583420248645301,"pituitary"
"HHAT",4.26238547895233e-20,19.3703472763929,-0.583942327133365,"pituitary"
"LOC107056134",0.0212908301741887,1.67180740417746,-0.584396353231717,"pituitary"
"OPCML",5.75721301972438e-06,5.23978770113731,-0.585036161886711,"pituitary"
"FBRSL1",8.88484470242638e-46,45.0513501587949,-0.585292455090809,"pituitary"
"PPP1R16B",1.138670370408e-12,11.9436019800752,-0.585734685279508,"pituitary"
"CEP250",4.49216444249739e-29,28.3475443541109,-0.586724962837558,"pituitary"
"HSPB8",7.01779592920332e-07,6.15379926480535,-0.586914048955407,"pituitary"
"NAPG",6.13477671568659e-117,116.212201239442,-0.587434414427697,"pituitary"
"IGSF5",1.2717863281387e-07,6.89558584804704,-0.58744266793664,"pituitary"
"PRUNE",1.10082372586336e-26,25.9582822187338,-0.587773910340903,"pituitary"
"C8ORF4",2.38982321110532e-10,9.62163422511095,-0.587880129619198,"pituitary"
"GNPDA1",1.35610275068264e-32,31.867707403121,-0.587938125208343,"pituitary"
"C7H2ORF66",2.32175025289507e-08,7.63418449847469,-0.588101217742859,"pituitary"
"ID4",1.76808363552267e-05,4.75249719543896,-0.589221525675017,"pituitary"
"LOC423605",4.29901917079964e-05,4.36663061821076,-0.589231089002736,"pituitary"
"LOC107055115",1.84607890445494e-11,10.7337497404515,-0.589847263464435,"pituitary"
"CLCN2",1.15091557216406e-11,10.9389565337882,-0.589854174573788,"pituitary"
"ANKS1B",3.32415850235176e-43,42.4783182763875,-0.590612300641439,"pituitary"
"NOG2",2.6689152969614e-08,7.57366520914468,-0.590667821247894,"pituitary"
"SPATA2L",2.575573489657e-33,32.5891260537441,-0.590851620831466,"pituitary"
"URI1",7.06474590212676e-44,43.1509034538138,-0.591237254110986,"pituitary"
"RASEF",4.21433938141671e-06,5.37527049351633,-0.591565807541194,"pituitary"
"IRAK4",1.4758879766167e-33,32.8309466052389,-0.591708482326314,"pituitary"
"ADARB1",2.67993668641851e-30,29.5718754660697,-0.591722297096909,"pituitary"
"LOC101749060",8.3119600357129e-15,14.0802965535538,-0.592299379356055,"pituitary"
"CXORF56",7.03891032470186e-42,41.1524945676473,-0.592423341720731,"pituitary"
"HINT3",1.90699455060432e-73,72.7196505479849,-0.592520527506333,"pituitary"
"SOX5",1.05820602656665e-36,35.9754297694556,-0.592634256063944,"pituitary"
"KIF21B",1.75302370568796e-12,11.7562122110141,-0.593059511553007,"pituitary"
"LRAT",6.03730044689159e-09,8.21915721089817,-0.593069278548907,"pituitary"
"HES4",2.49909156103984e-24,23.6022178320184,-0.593707128314402,"pituitary"
"CTNNAL1",7.31192122884329e-15,14.1359684958933,-0.593825869781488,"pituitary"
"CRYBB1",1.69832947000137e-11,10.769978054302,-0.59433823860366,"pituitary"
