"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2"
"252","x.o117_male_pituitary_m.inc.d9","x.o117","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.5325302208944,17.6949824894997,"removal"
"253","x.o159.w90_female_pituitary_inc.d17","x.o159.w90","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",8.3206110926033,20.5967639314116,"charcterization"
"254","x.o160.w102_male_pituitary_hatch","x.o160.w102","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.43935921590295,20.7317436467921,"charcterization"
"255","x.o163.w101_male_pituitary_inc.d3.NYNO","x.o163.w101","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.32043375765567,14.0108718119662,"charcterization"
"256","x.o164.w123_male_pituitary_n5.NYNO","x.o164.w123","male","pituitary","n5","male.pituitary.n5","charcterization",7.90474786078412,20.1642184206849,"charcterization"
"257","x.o171.w45_female_pituitary_m.hatch","x.o171.w45","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.41352181221317,20.1345968086437,"removal"
"258","x.o175.g21_female_pituitary_n5","x.o175.g21","female","pituitary","n5","female.pituitary.n5","charcterization",7.47706450471532,18.8108743074675,"charcterization"
"259","x.o2_male_pituitary_n9","x.o2","male","pituitary","n9","male.pituitary.n9","charcterization",7.31723376193349,18.4586331096872,"charcterization"
"260","x.o30.g134_male_pituitary_bldg","x.o30.g134","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.59591727210402,17.0138719825548,"charcterization"
"261","x.o37.blu50_female_pituitary_hatch","x.o37.blu50","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.88904799555052,21.134538146903,"charcterization"
"262","x.o40.r70_male_pituitary_m.inc.d17","x.o40.r70","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.4431975436785,18.9501029665873,"removal"
"263","x.o47.y82_male_pituitary_inc.d9","x.o47.y82","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.40457237199491,18.1171873690008,"charcterization"
"264","x.o4_male_pituitary_m.hatch","x.o4","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.46060805198319,20.0818779485226,"removal"
"265","x.o61_female_pituitary_extend.hatch","x.o61","female","pituitary","extend","female.pituitary.extend","manipulation",7.57095330823148,20.1266684436811,"timing"
"266","x.o68_male_pituitary_n5","x.o68","male","pituitary","n5","male.pituitary.n5","charcterization",7.81533002646787,19.8574183560186,"charcterization"
"267","x.o70_female_pituitary_n5","x.o70","female","pituitary","n5","female.pituitary.n5","charcterization",7.64214323154026,19.7661919349606,"charcterization"
"268","x.r10.w18_male_pituitary_m.inc.d17","x.r10.w18","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.56462526099241,19.2019690629207,"removal"
"269","x.r178_male_pituitary_hatch","x.r178","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.54754636812357,20.7069300923848,"charcterization"
"270","x.r180_female_pituitary_m.inc.d3","x.r180","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.32456323569169,18.6187318354732,"removal"
"271","x.r181_male_pituitary_n5","x.r181","male","pituitary","n5","male.pituitary.n5","charcterization",7.83227298366715,20.5216055477404,"charcterization"
"272","x.r185_male_pituitary_m.inc.d3","x.r185","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.55981516657069,17.1585347809962,"removal"
"273","x.r29.w96_male_pituitary_inc.d17","x.r29.w96","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.03582065168066,18.0795923603472,"charcterization"
"274","x.r33.w183_female_pituitary_inc.d3","x.r33.w183","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.40077732283396,17.9771937597419,"charcterization"
"275","x.r39.g10_female_pituitary_bldg","x.r39.g10","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.63079346155629,16.8818091337739,"charcterization"
"276","x.r44.w95_female_pituitary_hatch","x.r44.w95","female","pituitary","hatch","female.pituitary.hatch","charcterization",8.12738960275772,21.165570039041,"charcterization"
"277","x.r48.y139_female_pituitary_inc.d17.NYNO","x.r48.y139","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",7.86963276280778,21.1367158023132,"charcterization"
"278","x.r50.w97_female_pituitary_n5","x.r50.w97","female","pituitary","n5","female.pituitary.n5","charcterization",7.29869458582768,19.0436447323596,"charcterization"
"279","x.r64.g140_male_pituitary_inc.d3","x.r64.g140","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.41634576289073,16.8858840002083,"charcterization"
"280","x.r67.blu35_male_pituitary_bldg.NYNO","x.r67.blu35","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.31284439603869,16.2461704099823,"charcterization"
"281","x.r74.o29_female_pituitary_m.hatch","x.r74.o29","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.45678511175744,19.4429288741471,"removal"
"282","x.r76_female_pituitary_m.inc.d9","x.r76","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.13587405868789,17.7762579606211,"removal"
"283","x.s188_female_pituitary_m.inc.d8","x.s188","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.29495287321131,17.9079972948311,"timing"
"284","x.w178_female_pituitary_n9","x.w178","female","pituitary","n9","female.pituitary.n9","charcterization",7.27938730473333,19.6819333062894,"charcterization"
"285","x.w192.o157_male_pituitary_inc.d9","x.w192.o157","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.40287399690793,17.2277941337518,"charcterization"
"286","x.w51_female_pituitary_lay","x.w51","female","pituitary","lay","female.pituitary.lay","charcterization",7.27532390665875,18.0989585211869,"charcterization"
"287","x.w6_female_pituitary_n9","x.w6","female","pituitary","n9","female.pituitary.n9","charcterization",7.48737283986662,18.4465407873569,"charcterization"
"288","x.y.s.ATLAS_male_pituitary_control","x.y.s.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.56309031185562,18.4339318375365,"charcterization"
"289","x.y109_female_pituitary_inc.d9","x.y109","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.34981899355419,18.1305093901588,"charcterization"
"290","x.y119.w11_female_pituitary_m.inc.d17","x.y119.w11","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.53892497306319,19.8588071367407,"removal"
"291","x.y132.w76_male_pituitary_inc.d17","x.y132.w76","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.88495548464638,20.0620818476936,"charcterization"
"292","x.y138.w176_female_pituitary_n9","x.y138.w176","female","pituitary","n9","female.pituitary.n9","charcterization",7.59637611050878,19.5442635074249,"charcterization"
"293","x.y141.w116_male_pituitary_inc.d9","x.y141.w116","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.45703272953866,17.8046049704773,"charcterization"
"294","x.y145.r55_female_pituitary_inc.prolong","x.y145.r55","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.73142361763743,20.7711727868174,"timing"
"295","x.y51_male_pituitary_m.inc.d8","x.y51","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.4210039179092,17.5143243820425,"timing"
"296","x.y5_female_pituitary_m.inc.d8","x.y5","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.1811919312044,17.4346506760963,"timing"
"297","x.y64_female_pituitary_extend","x.y64","female","pituitary","extend","female.pituitary.extend","manipulation",7.60518635048517,20.1363194996317,"timing"
"298","x.y79_male_pituitary_prolong","x.y79","male","pituitary","prolong","male.pituitary.prolong","manipulation",8.00403536865868,20.5035626246119,"timing"
"299","x.y90_female_pituitary_hatch","x.y90","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.9572253254708,20.8363799677625,"charcterization"
