"gene","lfc","padj","logpadj","direction"
"LOC423967",0.264999683613097,0.00619434716303036,2.20800445820375,"bldg"
"ELOVL4",0.264846160198844,0.000485840811881491,3.31350600614171,"bldg"
"FBXO21",0.264834606345979,0.00517009888548163,2.28650115032805,"bldg"
"TBC1D30",0.264813529704919,0.0420507551541181,1.37622620066698,"bldg"
"MIER1",0.264729158448172,0.0141644353513565,1.84880073343989,"bldg"
"LARP4B",0.264706781497127,0.000509281096447186,3.29304244371591,"bldg"
"SART3",0.264656797834163,0.000402114809039192,3.39564993245398,"bldg"
"TMEM55A",0.264402423498937,0.0335349439291426,1.47450241546868,"bldg"
"WDTC1",0.264198554288309,0.0432747584477193,1.36376534760313,"bldg"
"FSTL4",0.264183814947101,0.00975636060196367,2.01071215623154,"bldg"
"MARC2",0.264100998734561,0.0512976434266496,1.28990258557649,"bldg"
"NEK4",0.263975878485634,0.0266061773912839,1.57501751767429,"bldg"
"INPP4B",0.263818740060695,0.0150186784150594,1.82336828186576,"bldg"
"CEND1",0.263805929027146,0.0888110350280519,1.05153306852275,"bldg"
"CEP85L",0.263714763224631,0.0560653221227035,1.25130567827012,"bldg"
"CTIF",0.26357835991868,0.00428070188829561,2.36848501574809,"bldg"
"COG6",0.263298741866075,0.0359618037444922,1.44415853338392,"bldg"
"ADAP1",0.263159559251287,0.0372224034735339,1.42919558763748,"bldg"
"SALL3",0.262669281767749,0.0853109392771118,1.06899527641659,"bldg"
"ZBTB11",0.262099810500742,0.0460316844422395,1.33694313263188,"bldg"
"NF1",0.262010441346035,0.0825694691181395,1.08318050769916,"bldg"
"MYO1B",0.261933864355628,0.0262012561152261,1.58167788765603,"bldg"
"GPR176",0.261807557702302,0.0182062026393737,1.73978062777685,"bldg"
"MBNL3",0.261319781540926,0.0925758583938494,1.03350225233838,"bldg"
"CAND1",0.261194514857439,0.00319996929973227,2.4948541882491,"bldg"
"VWC2L",0.260768016476761,0.0424349781649165,1.37227601695519,"bldg"
"ETV1",0.260438768915721,0.0417006027890772,1.37985766718265,"bldg"
"ANKFN1",0.260370736395414,0.0876017298985924,1.0574873175991,"bldg"
"CD164",0.260347469800285,0.0329141411425962,1.48261747284891,"bldg"
"ATP6AP2",0.260273552576072,0.0160299336422752,1.7950682754533,"bldg"
"YWHAE",0.259627875752867,0.00190510862048643,2.72008025781878,"bldg"
"IFNGR2",0.259458722436666,0.0416633297408951,1.3802460241072,"bldg"
"ACER3",0.259012473287334,0.0416152144551921,1.38074786298065,"bldg"
"LOC100859798",0.259005763626008,0.0218255337115754,1.66103512745478,"bldg"
"IGFBP3",0.258959676895418,0.0893703314434807,1.0488066314151,"bldg"
"RSBN1L",0.258725045957014,0.00568591733555072,2.24519945857015,"bldg"
"PHF3",0.258624003761666,0.00166788999538192,2.77783259636857,"bldg"
"STARD7",0.258427546749439,0.0525158235790773,1.27970981930536,"bldg"
"TBC1D32",0.258405676333813,0.0448603457438236,1.34813738358283,"bldg"
"AGPAT3",0.258024956542955,0.0483694876348074,1.31542851295379,"bldg"
"ALG12",0.257685341380547,0.0544855702081863,1.26371849971829,"bldg"
"CASC4",0.257395463945577,0.0479742841282684,1.31899149708155,"bldg"
"STON1",0.25729487924253,0.0810778667024798,1.09109768686025,"bldg"
"ST7L",0.257292837775302,3.08367465875929e-05,4.51093144818233,"bldg"
"YPEL2",0.257147150042092,0.0495495724685201,1.30496008841107,"bldg"
"TTPAL",0.257076398301212,0.0986358073315582,1.00596539638259,"bldg"
