"gene","counts","sex","tissue","treatment","samples"
"AVP",5.09617484266787,"female","pituitary","m.inc.d3","blk.s049.y.g_female_pituitary_m.inc.d3"
"AVP",5.44655921671544,"female","pituitary","m.inc.d3","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO"
"AVP",5.79585859667861,"female","pituitary","inc.d9","blk.s061.pu.y_female_pituitary_inc.d9"
"AVP",5.34673850570184,"female","pituitary","early","blk.y.l.s109_female_pituitary_m.inc.d8"
"AVP",5.44142279122052,"female","pituitary","m.n2","blk0.x_female_pituitary_m.n2"
"AVP",5.09617484266787,"female","pituitary","bldg","blk11.x_female_pituitary_bldg"
"AVP",5.73218024632401,"female","pituitary","extend","blk19.x_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","hatch","blk21.x_female_pituitary_hatch"
"AVP",5.28159892515355,"female","pituitary","n9","blk4.x_female_pituitary_n9"
"AVP",5.09617484266787,"female","pituitary","control","blu.o.x.ATLAS_female_pituitary_control"
"AVP",5.32804860037716,"female","pituitary","hatch","blu103.x_female_pituitary_hatch.NYNO"
"AVP",5.59945409448223,"female","pituitary","prolong","blu115.y150.x_female_pituitary_inc.prolong"
"AVP",5.99827042981897,"female","pituitary","early","blu119.w84.x_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","hatch","blu124.w180.x_female_pituitary_hatch"
"AVP",5.09617484266787,"female","pituitary","n9","blu36.w16_female_pituitary_n9"
"AVP",5.39307811901737,"female","pituitary","bldg","blu38.g135.x_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","inc.d3","blu39.o26.x_female_pituitary_inc.d3.NYNO"
"AVP",5.09617484266787,"female","pituitary","extend","blu44.y102_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","inc.d9","blu47.y96.x_female_pituitary_inc.d9"
"AVP",5.09617484266787,"female","pituitary","n5","blu55.g51_female_pituitary_n5"
"AVP",5.34602553607592,"female","pituitary","m.inc.d3","blu56.o53_female_pituitary_m.inc.d3"
"AVP",5.44814837709548,"female","pituitary","m.inc.d9","blu63.g62_female_pituitary_m.inc.d9"
"AVP",5.29856484919143,"female","pituitary","early","blu80.r97_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","m.inc.d9","d.r.blk.s159_female_pituitary_m.inc.d9"
"AVP",5.09617484266787,"female","pituitary","m.inc.d17","d.s112.blk.w_female_pituitary_m.inc.d17"
"AVP",5.09617484266787,"female","pituitary","m.inc.d3","d.s177.blk.r_female_pituitary_m.inc.d3"
"AVP",5.29336370990127,"female","pituitary","lay","g.blk.s004.pk_female_pituitary_lay"
"AVP",5.43500607129068,"female","pituitary","m.n2","g.s076.pk.r_female_pituitary_m.hatch"
"AVP",5.28453941422077,"female","pituitary","lay","g.s078.blk.o_female_pituitary_lay"
"AVP",5.09617484266787,"female","pituitary","m.inc.d17","g.y.blk.s006_female_pituitary_m.inc.d17"
"AVP",5.09617484266787,"female","pituitary","bldg","g141.blu27.x_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","inc.d17","g142.r40.x_female_pituitary_inc.d17"
"AVP",5.37773388489286,"female","pituitary","m.inc.d3","g144.r54.x_female_pituitary_m.inc.d3"
"AVP",5.09617484266787,"female","pituitary","extend","g17.w108.x_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","extend","g22.blu118_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","inc.d3","g6.w197.x_female_pituitary_inc.d3"
"AVP",5.27965744592484,"female","pituitary","m.inc.d17","g63.blu65_female_pituitary_m.inc.d17"
"AVP",5.53954583872591,"female","pituitary","m.inc.d9","g73.x_female_pituitary_m.inc.d9"
"AVP",5.38819122075869,"female","pituitary","inc.d9","g75.x_female_pituitary_inc.d9"
