"study","treatment","sex","bird_id","prolactin","corticosterone","testosterone","moltbin","estradiol","progesterone"
"characterization","bldg","male","s.l.d.o",12.30304,2.227035346,4.795860038,1,NA,0.287891067
"characterization","n5","female","x.g49",59.952992,4.033064982,NA,0,0.356315748,0.994602984
"characterization","n5","male","x.o164.w123",68.092896,3.523276819,0.297432249,1,NA,0.487439473
"manipulation","m.inc.d3","male","r185.x",4.935392,1.283392822,0.823349036,1,NA,0.211720021
"manipulation","m.inc.d3","female","blk.s.pu.w",19.35712,3.22971288698311,NA,1,0.040454676,0.928888253
"manipulation","m.n2","male","o3.x",4.257696,NA,NA,NA,NA,NA
"manipulation","m.n2","female","x.blu96",9.31136,NA,NA,NA,NA,NA
"manipulation","m.inc.d8","male","s.o.l.y",13.278304,2.02953278,1.405108562,NA,NA,0.351823857
"manipulation","m.inc.d8","female","x.y5",35.96416,1.21639156,NA,1,NA,0.397641191
"manipulation","m.inc.d3","female","s.pk.pu.g",9.533664,2.576841295,NA,1,0.508125108,0.269597099
"manipulation","m.inc.d3","male","g.blk.s.r",7.240544,4.639099192,0.787519875,1,NA,0.090054968
"characterization","n5","female","y6.o54",16.460064,2.812970077,NA,NA,0.163314291,NA
"characterization","n5","male","x.blu30",56.575072,7.234880793,NA,1,NA,NA
"manipulation","m.inc.d3","female","blu56.o53",21.311648,3.800618531,NA,1,0.132062295,1.125227113
"manipulation","m.inc.d3","male","x.g5.w79",8.9168,1.086372034,1.183576922,1,NA,0.263153839
"characterization","n9","female","y97.x",44.811776,0.964546366,NA,1,0.16872651,0.266476541
"characterization","n9","male","x.o2",10.36096,4.581648762,NA,1,NA,NA
"characterization","hatch","female","blk21.x",86.72352,3.247187942,NA,NA,0.322931078,0.262000809
"characterization","hatch","male","x.r178",74.314656,1.545899767,2.447408466,1,NA,0.119252645
"characterization","n9","female","r95.blu99",16.23936,2.258741156,NA,0,0.314926723,NA
"characterization","n9","male","blu81.r88",42.55328,0.994294936,0.345463113,1,NA,NA
"characterization","n5","female","x.o175.g21",76.54208,3.065155964,NA,1,0.362882381,0.710229912
"characterization","n5","male","x.o68",48.13168,1.745314479,2.378260474,1,NA,0.576558294
"characterization","n9","female","x.w6",19.978016,0.488561945,NA,1,NA,0.197984156
"characterization","n9","male","blk.d.g.s",39.976,1.305571239,4.321452604,1,NA,NA
"characterization","n9","female","x.y9",55.27808,2.638465395,NA,1,0.322960209,0.384761097
"characterization","n9","male","R195.X",43.243328,1.731016866,2.000253236,1,NA,0.268609666
"manipulation","m.inc.d3","female","x.r180",17.149024,0.65114786,NA,1,0.039912097,0.342123461
"manipulation","m.inc.d3","male","y18.X",8.32896,0.866260554,7.801162309,1,NA,0.448153512
"manipulation","m.inc.d3","female","s.blk.y.d",16.70208,1.116362683,NA,1,0.041665885,NA
"manipulation","m.inc.d3","male","s.pu.g.pk",13.641856,3.602017129,0.045603937,1,NA,NA
"characterization","lay","male","g.s.blk.y",11.742112,3.812690837,0.527465726,1,NA,0.573866007
"characterization","lay","female","G.S.Blk.O",8.020768,1.914258265,NA,1,0.268995777,0.466172366
"manipulation","prolong","male","x.blu57",73.615456,7.342908328,1.62406011,1,NA,0.265541544
"manipulation","prolong","female","r194.x",86.443904,1.046094949,NA,1,0.035825652,0.144376398
"manipulation","m.inc.d8","female","s002.x",39.301344,1.387526072,NA,1,0.041423166,0.299622754
"manipulation","m.inc.d8","male","r4.x",19.800352,2.244749633,0.693780055,1,NA,NA
"manipulation","extend","male","blu84.x",80.689792,1.44947818,0.414964528,1,NA,NA
"manipulation","extend","female","x.o61",80.959968,2.163011212,NA,0,0.126688582,0.165297232
"manipulation","prolong","female","l.s.pk.r",72.593536,1.267707993,NA,0,0.07546615,NA
"manipulation","prolong","male","x.y79",74.772256,3.498404941,0.375351808,1,NA,0.103783643
"manipulation","m.inc.d17","female","o.s.w.blk",29.656544,3.339150625,NA,1,0.141362569,0.502911756
"manipulation","m.inc.d17","male","g32.blu79",8.875456,1.56172466,4.281536013,1,NA,NA
"manipulation","m.inc.d3","male","d.s.g.blk",5.19968,2.421059491,1.892441304,1,NA,NA
"manipulation","m.inc.d3","female","d.s.blk.r",6.350784,0.746724709,NA,1,0.040659209,0.512214265
"manipulation","m.inc.d17","female","x.blu94",25.365664,0.795754917,NA,1,0.150320822,0.672468948
"manipulation","m.inc.d3","male","o.s.r.blk",4.709728,13.298093078701,1.78615073,1,NA,1.261793634
"manipulation","m.inc.d3","female","r.s.y.blk",16.85984,4.198740885,NA,1,0.093693678,1.126030983
"manipulation","m.inc.d8","female","blk.y.l.s",7.999904,1.711482279,NA,1,0.038245464,0.262415793
"manipulation","m.inc.d8","male","r.s.d.l",6.755936,1.631212924,0.441326622,1,NA,NA
"manipulation","m.inc.d8","male","s.blk.d.r",18.431712,4.489466138,1.034345625,1,NA,NA
"manipulation","m.n2","male","blu110.w26.x",18.35024,NA,NA,NA,NA,NA
"manipulation","m.inc.d8","male","pu.blk.s.y",14.69952,4.287877265,0.89275421,1,NA,NA
"manipulation","m.inc.d8","female","blu80.r97",20.54288,1.729950962,NA,1,0.05176619,NA
"manipulation","m.inc.d8","male","blu119.w84.x",19.66464,0.981395195,0.589747068,1,NA,NA
"characterization","lay","male","pk.s.blk.w",7.66912,1.105661701,1.446863499,1,NA,NA
"characterization","lay","female","g.blk.s.pk",5.466592,0.584968464,NA,1,1.021406122,NA
"manipulation","prolong","female","x.blk20",85.615008,1.655056316,NA,1,NA,0.290582273
"manipulation","prolong","male","pk.s.d.g",93.70144,0.907536912,1.9362491,1,NA,0.992539502
"manipulation","prolong","female","s.pu.pk",84.423168,2.706985428,NA,1,0.079712875,0.661518722
"manipulation","prolong","male","g.y.o.s",3.78176,1.857900676,4.563717932,1,NA,0.36461598
"manipulation","m.n2","female","l.s.w.d",23.31088,NA,NA,NA,NA,NA
"manipulation","m.n2","male","s.o.r",17.711968,NA,NA,NA,NA,NA
"manipulation","m.inc.d17","female","g63.blu65",12.87712,0.851948628,NA,1,0.135856306,0.262456773
"manipulation","m.inc.d17","male","o59.blu64",15.224864,2.213374248,4.848572632,1,NA,NA
"manipulation","m.n2","male","x.blu76",11.66816,NA,NA,NA,NA,NA
"manipulation","m.n2","female","s.y.blk.pk",47.694496,NA,NA,NA,NA,NA
"manipulation","extend","female","blk19.x",100.680672,2.539481279,NA,0,0.053640984,0.271742636
"manipulation","extend","male","r.s.l.blk",60.716864,2.741491116,1.914868809,1,NA,NA
"manipulation","extend","female","s.g.blk.y",48.435488,2.329129739,NA,1,0.134394921,0.137518889
"manipulation","extend","male","x.blu69",35.153952,1.947901571,0.955953598,1,NA,NA
"manipulation","m.n2","female","y98.g54",14.789728,NA,NA,NA,NA,NA
"manipulation","m.n2","male","x.o4",28.879616,NA,NA,NA,NA,NA
"manipulation","prolong","female","l.s.o.w",68.542976,7.328963029,NA,1,0.060627418,NA
"manipulation","prolong","male","l.s.blk.r",4.662336,2.017334828,2.845579898,1,NA,NA
"manipulation","m.inc.d8","female","x.s188",11.66816,2.391392662,NA,1,0.03659381,0.382304335
"manipulation","m.inc.d8","male","y55.x",6.331616,2.58008247,0.704979918,1,NA,NA
"manipulation","prolong","female","blk.s.pu.d",43.81344,0.942507258,NA,1,0.055450954,0.296382103
"manipulation","prolong","male","blk.s.o.g",35.267392,1.748194431,1.09734505,1,NA,NA
"manipulation","m.inc.d17","female","g.y.blk.s",31.838592,0.973618573,NA,0,0.17319057,0.101515804
"characterization","lay","male","pk.w.s.o",16.298784,1.271980868,0.229511714,1,NA,0.194786331
"characterization","lay","female","s.o.pk.pu",6.87648,0.928177942,NA,0,0.156667283,NA
"manipulation","m.inc.d17","male","l.s.y.g",65.159232,1.09860274,0.675487829,1,NA,NA
"manipulation","m.inc.d17","female","pk.s.o.y",21.174336,1.198657357,NA,1,0.103882211,NA
"manipulation","m.inc.d17","female","s.l.pk.blk",13.28,2.173143659,NA,1,0.123104774,1.294007003
"manipulation","m.inc.d17","male","s.g.blk.pk",3.439808,0.971796065,0.942708349,1,NA,NA
"manipulation","extend","female","x.y64",72.760032,1.556400688,NA,1,0.042635065,0.181428234
"manipulation","extend","male","x.blu73",66.895328,0.713103397,0.256819413,1,NA,NA
"manipulation","m.inc.d8","female","x.g26",27.468288,1.805107661,NA,0,0.096559321,NA
"manipulation","m.inc.d8","male","x.y51",8.105536,1.087819794,2.105957506,1,NA,0.432961071
"manipulation","m.inc.d3","male","blk5.x",11.476288,2.163570989,1.176094136,1,NA,0.11639628
"manipulation","m.inc.d3","female","g144.r54.x",9.19424,1.575811356,NA,1,0.034977106,0.251633507
"manipulation","m.inc.d17","female","s.g.d.blk",10.535776,0.928709532,NA,1,0.110045873,NA
"manipulation","m.inc.d17","male","s.g.blk.pu",6.680096,0.823939044,3.841167185,1,NA,0.218067675
"manipulation","m.inc.d17","female","d.s.blk.w",49.70528,0.936114279,NA,1,NA,NA
"manipulation","m.inc.d17","male","x.o40.r70",16.624224,4.617099942,3.589225601,1,NA,0.507409051
"manipulation","m.inc.d17","female","o169.r28.x",58.222144,1.699167786,NA,1,0.18180929,0.295604684
"manipulation","m.inc.d17","male","y148.w81.g145",31.806688,0.843972711,NA,1,NA,NA
"manipulation","m.inc.d3","male","s.blk.pu.pk",6.29952,3.06525816,0.238805468,1,NA,NA
"manipulation","m.inc.d3","female","blk.s.y.g",27.04864,2.94570993,NA,1,0.033057453,0.6562115
"manipulation","m.inc.d8","female","pk.s.d.l",14.665024,1.329165484,NA,1,0.036214928,0.328067229
"manipulation","m.inc.d8","male","g.s.r.blk",25.9472,3.261388706,0.10840598,1,NA,0.172852754
"manipulation","m.inc.d17","female","x.y119.w11",11.305088,0.537475063,NA,1,0.16777606,NA
"manipulation","m.inc.d17","male","x.r10.w18",7.400256,1.873036805,3.971099535,1,NA,NA
"manipulation","m.inc.d3","female","s.y.pk.blk",7.247936,1.779591697,NA,1,0.080170422,0.214432075
"manipulation","m.inc.d3","male","s.l.blk.w",3.51104,3.261456646,1.62431131,1,NA,NA
"manipulation","m.n2","female","blk.s.g.w",90.747968,NA,NA,NA,NA,NA
"manipulation","m.n2","male","s.blk.pk.w",61.937152,NA,NA,NA,NA,NA
"manipulation","m.inc.d8","female","s.blk.r.g",16.68368,2.962079947,NA,1,0.079887687,0.766231554
"manipulation","m.inc.d8","male","g.s.o.pk",15.86336,3.283365162,0.527040304,1,NA,NA
"manipulation","extend","female","s.blk.pk.pu",59.991168,3.211362155,NA,1,0.044176314,0.425119496
"manipulation","extend","male","r.s.g.pk",60.524096,NA,NA,NA,NA,NA
"manipulation","extend","female","r.s.o.d",46.984384,2.194346135,NA,1,0.069647402,NA
"manipulation","extend","male","l.s.o.blk",45.066208,2.599454094,0.555197083,1,NA,0.254247897
"characterization","lay","female","s.blk.pu.r",6.078336,0.728352167,NA,1,0.164316777,0.742585937
"characterization","lay","male","r.s.blk.pu",15.193696,1.585593212018,0.094912269,1,NA,NA
