"","gene","direction.x","direction.y"
"889","ITIH5","male",NA
"890","ITPR2","female","lo"
"891","ITPR3","female",NA
"892","ITPRIPL2","male","lo"
"893","JADE3","male",NA
"894","JAG2","female","lo"
"895","JAK2","male",NA
"896","JAKMIP3","male",NA
"897","JAM2","male",NA
"898","JAM3","male",NA
"899","JMJD8","female",NA
"900","JMY","male",NA
"901","KAT2B","male",NA
"902","KATNAL2","male",NA
"903","KCNAB1","male","lo"
"904","KCND2","male","lo"
"905","KCNE4","male","lo"
"906","KCNG4","male",NA
"907","KCNH2","female","lo"
"908","KCNH7","female",NA
"909","KCNJ2","female",NA
"910","KCNJ5","male","hi"
"911","KCNK1","female","hi"
"912","KCNK15","female",NA
"913","KCNK5","female",NA
"914","KCNMA1","female","hi"
"915","KCNN2","male",NA
"916","KCNQ1","female","lo"
"917","KCNQ5","female",NA
"918","KCNT2","male",NA
"919","KCTD12","female",NA
"920","KCTD15","male",NA
"921","KCTD16","female",NA
"922","KCTD7","male",NA
"923","KDELR3","female","hi"
"924","KDM2B","female",NA
"925","KDM3B","female",NA
"926","KDM4C","male","lo"
"927","KDM6A","female",NA
"928","KHDRBS2","male","hi"
"929","KHDRBS3","female",NA
"930","KIAA0020","male","hi"
"931","KIAA0825","male",NA
"932","KIAA0930","female",NA
"933","KIAA1024","male",NA
"934","KIAA1161","male","lo"
"935","KIAA1211L","male",NA
"936","KIAA1328","male",NA
"937","KIAA1462","male",NA
"938","KIAA1467","female",NA
"939","KIAA1522","female",NA
"940","KIAA1551","male",NA
"941","KIAA1715","male",NA
"942","KIAA1841","female",NA
"943","KIAA2026","male",NA
"944","KIDINS220","male",NA
"945","KIF21B","female",NA
"946","KIF24","male",NA
"947","KIF27","male",NA
"948","KIF2A","male",NA
"949","KIF3A","male",NA
"950","KIFC3","female",NA
"951","KK34","male",NA
"952","KL","female",NA
"953","KLF10","female",NA
"954","KLF11","female",NA
"955","KLF4","male","lo"
"956","KLF9","male",NA
"957","KLHL11","male","lo"
"958","KLHL29","female",NA
"959","KLHL36","female",NA
"960","KLHL4","female",NA
"961","KLHL5","male",NA
"962","KLHL6","female",NA
"963","KLHL7","female",NA
"964","KPNB1","female",NA
"965","LACTB","female",NA
"966","LACTBL1","female",NA
"967","LAMA5","female",NA
"968","LAMP5","female",NA
"969","LANCL1","female","lo"
"970","LANCL2","male",NA
"971","LAP3","female","hi"
"972","LAS1L","female",NA
"973","LDLRAD4","male",NA
