"","geneid","bird_id","sex","tissue","stage","counts","manip","timept"
"323","prl","g143.blu32.x","male","pituitary","inc.d17",55836.19,"n",9
"324","prlr","g143.blu32.x","male","pituitary","inc.d17",148.8714,"n",9
"325","prl","g144.r54.x","female","gonad","m.inc.d3",225.8152,"y",5
"326","prlr","g144.r54.x","female","gonad","m.inc.d3",24.94221,"y",5
"327","prl","g144.r54.x","female","hypothalamus","m.inc.d3",140.4706,"y",5
"328","prlr","g144.r54.x","female","hypothalamus","m.inc.d3",189.99,"y",5
"329","prl","g144.r54.x","female","pituitary","m.inc.d3",117879.3,"y",5
"330","prlr","g144.r54.x","female","pituitary","m.inc.d3",79.07137,"y",5
"331","prl","g146.blu51","male","gonad","inc.d3",348.0028,"n",4
"332","prlr","g146.blu51","male","gonad","inc.d3",25.53387,"n",4
"333","prl","g146.blu51","male","hypothalamus","inc.d3",550.0297,"n",4
"334","prlr","g146.blu51","male","hypothalamus","inc.d3",162.8441,"n",4
"335","prl","g146.blu51","male","pituitary","inc.d3",39634.85,"n",4
"336","prlr","g146.blu51","male","pituitary","inc.d3",101.9155,"n",4
"337","prl","g17.w108.x","female","gonad","extend",258.4634,"y",12
"338","prlr","g17.w108.x","female","gonad","extend",46.33476,"y",12
"339","prl","g17.w108.x","female","hypothalamus","extend",180.1418,"y",12
"340","prlr","g17.w108.x","female","hypothalamus","extend",170.2532,"y",12
"341","prl","g17.w108.x","female","pituitary","extend",529747,"y",12
"342","prlr","g17.w108.x","female","pituitary","extend",72.50727,"y",12
"343","prl","g20.w106.x","male","gonad","inc.d3",362.5938,"n",4
"344","prlr","g20.w106.x","male","gonad","inc.d3",27.52098,"n",4
"345","prl","g20.w106.x","male","hypothalamus","inc.d3",138.6683,"n",4
"346","prlr","g20.w106.x","male","hypothalamus","inc.d3",176.6217,"n",4
"347","prl","g20.w106.x","male","pituitary","inc.d3",32836.79,"n",4
"348","prlr","g20.w106.x","male","pituitary","inc.d3",84.70133,"n",4
"349","prl","g22.blu118","female","gonad","extend",317.2651,"y",12
"350","prlr","g22.blu118","female","gonad","extend",10.90336,"y",12
"351","prl","g22.blu118","female","hypothalamus","extend",38.25752,"y",12
"352","prlr","g22.blu118","female","hypothalamus","extend",200.1455,"y",12
"353","prl","g22.blu118","female","pituitary","extend",272911.3,"y",12
"354","prlr","g22.blu118","female","pituitary","extend",80.09696,"y",12
"355","prl","g32.blu79","male","gonad","m.inc.d17",636.1979,"y",10
"356","prlr","g32.blu79","male","gonad","m.inc.d17",61.15879,"y",10
"357","prl","g32.blu79","male","hypothalamus","m.inc.d17",59.31394,"y",10
"358","prlr","g32.blu79","male","hypothalamus","m.inc.d17",177.3325,"y",10
"359","prl","g32.blu79","male","pituitary","m.inc.d17",163235.5,"y",10
"360","prlr","g32.blu79","male","pituitary","m.inc.d17",133.8548,"y",10
"361","prl","g34.x","male","gonad","m.hatch",861.4199,"y",16
"362","prlr","g34.x","male","gonad","m.hatch",25.69924,"y",16
"363","prl","g34.x","male","hypothalamus","m.hatch",31.68499,"y",16
"364","prlr","g34.x","male","hypothalamus","m.hatch",217.7861,"y",16
"365","prl","g34.x","male","pituitary","m.hatch",268874.3,"y",16
"366","prlr","g34.x","male","pituitary","m.hatch",147.3559,"y",16
"367","prl","g38.x","male","gonad","inc.prolong",247.1067,"y",15
"368","prlr","g38.x","male","gonad","inc.prolong",39.36304,"y",15
"369","prl","g38.x","male","hypothalamus","inc.prolong",37.09486,"y",15
