"V1","sex","treatment","sextissue","hypothesis"
"x.r67.blu35_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"x.w178_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"x.w192.o157_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.w51_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"x.w6_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"x.y109_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"x.y132.w76_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"x.y138.w176_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"x.y141.w116_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.y90_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"x.y93.g126_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"x.y9_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"y.s156.o.r_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"y126.w92.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"y129.x_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"y13.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"y130.o170.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"y131.w185.x_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"y133.w77.r58_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"y135.blu107.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"y136.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"y140.w119.x_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"y149.r52.x_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
"y15.x_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"y6.o54_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"y7.g58_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"y94.g133.x_female_hypothalamus_n5.NYNO","female","n5","female_hypothalamus","hatchling.care"
"y95.g131.x_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"y97.x_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"y98.o50.x_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
