"gene","padj","logpadj","lfc","tissue","direction","row.names","geneid","entrezid"
"XP_015129116.1",9.49351418242576e-06,5.02257299647379,1.41000006900675,"pituitary","bldg",NA,NA,NA
"XP_015140664.1",2.38809231389629e-06,5.6219488891671,1.40940957274113,"pituitary","bldg",NA,NA,NA
"NP_001026650.1",0.000148741911296789,3.82756664223595,1.40870565406916,"pituitary","bldg",NA,NA,NA
"XP_015145274.1",0.000149474756307737,3.82543214594789,1.40085206836773,"pituitary","bldg",NA,NA,NA
"XP_015154919.1",0.0212216073246365,1.67322172572288,1.39692939398244,"pituitary","bldg",NA,NA,NA
"XP_015128734.1",0.00104528301215578,2.98076610766112,1.39691775854141,"pituitary","bldg",NA,NA,NA
"XP_015129502.1",5.24238301546493e-05,4.28047125209865,1.39590445179435,"pituitary","bldg",NA,NA,NA
"XP_015129592.1",0.0695286291511283,1.15783633322002,1.38247377696833,"pituitary","bldg",NA,NA,NA
"NP_990604.1",1.11017492109272e-22,21.9546085876275,1.38159422099788,"pituitary","bldg",NA,NA,NA
"XP_015128714.1",4.13828250838614e-05,4.38317986465018,1.37801007071746,"pituitary","bldg",NA,NA,NA
"XP_015148834.1",3.36887850240861e-06,5.47251465143651,1.3760737267134,"pituitary","bldg",NA,NA,NA
"XP_001234221.1",6.08753547492733e-06,5.21555849493209,1.37509651321804,"pituitary","bldg",NA,NA,NA
"XP_015128863.1",1.75194384375178e-10,9.7564798186814,1.37272257826627,"pituitary","bldg",NA,NA,NA
"XP_420789.3",0.0141928669710557,1.84792986783046,1.37260936460403,"pituitary","bldg",NA,NA,NA
"XP_015138872.1",0.00204878328862456,2.68850397694871,1.37022864285504,"pituitary","bldg",NA,NA,NA
"XP_003642339.2",1.40899215291783e-11,10.8510914255947,1.36995920755288,"pituitary","bldg",NA,NA,NA
"XP_424060.5",2.26581898810465e-12,11.6447747880328,1.36947776188834,"pituitary","bldg",NA,NA,NA
"XP_015142011.1",1.3963953294578e-05,4.85499161244601,1.36770621212371,"pituitary","bldg",NA,NA,NA
"XP_015156815.1",0.000196764792022269,3.70605260914845,1.36585188486738,"pituitary","bldg",NA,NA,NA
"XP_015152425.1",6.24555793762829e-13,12.2044287585053,1.3612371843427,"pituitary","bldg",NA,NA,NA
"NP_989613.1",0.000213094522357986,3.67142771377841,1.35931582551375,"pituitary","bldg",NA,NA,NA
"XP_015156765.1",4.46166822657695e-05,4.35050272735652,1.35535923881467,"pituitary","bldg",NA,NA,NA
"NP_989457.2",0.000877949559358767,3.05653043480167,1.35443157746752,"pituitary","bldg",NA,NA,NA
"XP_015136390.1",0.00827940939822061,2.0820006419883,1.35375040254564,"pituitary","bldg",NA,NA,NA
"XP_015130390.1",4.08272211816589e-08,7.38905017840521,1.35134849058463,"pituitary","bldg",NA,NA,NA
"XP_001236782.2",1.83301693686763e-13,12.7368335221877,1.3488461780768,"pituitary","bldg",NA,NA,NA
"XP_015148426.1",4.56129328504405e-09,8.34091200230823,1.34837637102934,"pituitary","bldg",NA,NA,NA
"XP_001234406.2",3.03166337621346e-08,7.51831902268677,1.34758358861751,"pituitary","bldg",NA,NA,NA
"XP_015138937.1",3.68411878421355e-10,9.43366637562589,1.3458589953111,"pituitary","bldg",NA,NA,NA
"XP_015128516.1",4.08272211816589e-08,7.38905017840521,1.34470094154235,"pituitary","bldg",NA,NA,NA
"XP_015136663.1",7.73977378108364e-06,5.11127173273608,1.33939635807869,"pituitary","bldg",NA,NA,NA
"XP_015151730.1",1.06897080933395e-12,11.9710341540225,1.33873930396415,"pituitary","bldg",NA,NA,NA
"XP_015150480.1",0.00632593085816871,2.19887555919233,1.33845365739954,"pituitary","bldg",NA,NA,NA
"XP_015139416.1",3.33545352582248e-06,5.47684510616399,1.33108109887084,"pituitary","bldg",NA,NA,NA
"XP_015136494.1",1.5463483652656e-07,6.81069266043748,1.33002477904724,"pituitary","bldg",NA,NA,NA
"XP_015128627.1",1.23787918995895e-10,9.90732173794462,1.32668341942579,"pituitary","bldg",NA,NA,NA
"NP_001012911.1",4.25493055383946e-07,6.37110752378866,1.32046813682727,"pituitary","bldg",NA,NA,NA
"XP_015156075.1",0.0700748303365046,1.15443794506977,1.31777467559843,"pituitary","bldg",NA,NA,NA
"XP_015155887.1",6.12083961882222e-05,4.21318899994421,1.31306911417571,"pituitary","bldg",NA,NA,NA
"XP_015155322.1",0.0714059814209248,1.14626540742132,1.3098677893025,"pituitary","bldg",NA,NA,NA
"XP_015151563.1",0.00845912907911089,2.07267434802558,1.30801843465806,"pituitary","bldg",NA,NA,NA
"XP_015154875.1",1.29046561033663e-07,6.8892535644948,1.30578294390699,"pituitary","bldg",NA,NA,NA
"XP_015153801.1",0.0646869352117454,1.18918342471602,1.3053582710233,"pituitary","bldg",NA,NA,NA
"XP_015152996.1",9.52994991341709e-05,4.02090938187833,1.30092073671848,"pituitary","bldg",NA,NA,NA
"XP_015133852.1",1.4365489179529e-05,4.84267958064642,1.30011747377477,"pituitary","bldg",NA,NA,NA
"XP_015130594.1",3.73702945503594e-07,6.42747347905452,1.29996172850174,"pituitary","bldg",NA,NA,NA
"XP_015144274.1",4.42800042209206e-11,10.3537923463949,1.29902125473919,"pituitary","bldg",NA,NA,NA
"NP_001012935.1",0.0020498829480205,2.68827093722725,1.29764035891114,"pituitary","bldg",NA,NA,NA
"XP_015129597.1",6.40692283012409e-07,6.19335050695134,1.29609344667869,"pituitary","bldg",NA,NA,NA
